LISTA DE PRECIOS 2026,,,,,,,,,,,,,,,,,,,,
 Vigencia a partir de febrero ,,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA, $825 ,MES, 206.17 ,,, $740 ,MES, 185.00 ,,, $665 ,MES, 166.25 ,,,,,,
,2 VECES POR SEMANA," $1,210 ",MES, 151.25 ,73%,," $1,295 ",MES, 161.88 ,88%,," $1,165 ",MES, 145.63 ,88%,,,,,
,3 VECES POR SEMANA," $1,485 ",MES, 123.75 ,60%,," $1,337 ",MES, 111.38 ,60%,," $1,203 ",MES, 100.24 ,60%,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,NADO LIBRE,,,,,,,,,,,,,,,,,,,
,LUNES A VIERNES," $1,395 ",MES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,NOTA:,,,,,,,,,,,,,,,,,,,
,PARA EL COSTEO DE PRECIOS DE FUNDACIÒN SE TOMARÀ DE BASE,,,,,,,,,,,,,,,,,,,
,"EL PRECIO HORARIO ""A"" DE 1VXS ELEVADO A LAS VECES `POR SEMANA",,,,,,,,,,,,,,,,,,,
,CORRESPONDIENTE DEL SERVICIO Y SE DIVIDIRÀ ENTRE EL NUMERO DE PX DEL GRUPO PARA EL COSTRO  POR PACIENTE.,,,,,,,,,,,,,,,,,,,
,ESTO DEBIDO A LA VARIACIÒN DE PRECIOS EN MAYOR FRECUENCIA DEBISO A LOS DESCUENTOS ESPACIALES PARA,,,,,,,,,,,,,,,,,,,
,LOS CLIENTES PRIVADOS,,,,,,,,,,,,,,,,,,,
